activateable,associateEntityType,associateParentEntity,createable,custom,customSetting,deepCloneable,deletable,deprecatedAndHidden,feedEnabled,hasSubtypes,isInterface,isSubtype,keyPrefix,label,labelPlural,layoutable,mergeable,mruEnabled,name,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,updateable,urls
False,ChangeEvent,ActOn__AccountInfo__c,False,False,False,False,False,False,False,False,False,False,,Change Event: AccountInfo,Change Event: AccountInfo,False,False,False,ActOn__AccountInfo__ChangeEvent,False,False,True,False,True,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/ActOn__AccountInfo__ChangeEvent/{ID}', 'eventSchema': '/services/data/v59.0/sobjects/ActOn__AccountInfo__ChangeEvent/eventSchema', 'describe': '/services/data/v59.0/sobjects/ActOn__AccountInfo__ChangeEvent/describe', 'sobject': '/services/data/v59.0/sobjects/ActOn__AccountInfo__ChangeEvent'})"
False,,,True,True,False,False,True,False,False,False,False,False,a0w,AccountInfo,AccountInfos,True,False,False,ActOn__AccountInfo__c,True,True,True,True,True,True,True,"OrderedDict({'compactLayouts': '/services/data/v59.0/sobjects/ActOn__AccountInfo__c/describe/compactLayouts', 'rowTemplate': '/services/data/v59.0/sobjects/ActOn__AccountInfo__c/{ID}', 'approvalLayouts': '/services/data/v59.0/sobjects/ActOn__AccountInfo__c/describe/approvalLayouts', 'describe': '/services/data/v59.0/sobjects/ActOn__AccountInfo__c/describe', 'quickActions': '/services/data/v59.0/sobjects/ActOn__AccountInfo__c/quickActions', 'layouts': '/services/data/v59.0/sobjects/ActOn__AccountInfo__c/describe/layouts', 'sobject': '/services/data/v59.0/sobjects/ActOn__AccountInfo__c'})"
False,ChangeEvent,ActOn__ServerInformation__c,False,False,False,False,False,False,False,False,False,False,,Change Event: ServerInformation,Change Event: ServerInformation,False,False,False,ActOn__ServerInformation__ChangeEvent,False,False,True,False,True,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/ActOn__ServerInformation__ChangeEvent/{ID}', 'eventSchema': '/services/data/v59.0/sobjects/ActOn__ServerInformation__ChangeEvent/eventSchema', 'describe': '/services/data/v59.0/sobjects/ActOn__ServerInformation__ChangeEvent/describe', 'sobject': '/services/data/v59.0/sobjects/ActOn__ServerInformation__ChangeEvent'})"
False,,,True,True,False,False,True,False,False,False,False,False,a14,ServerInformation,ServerInformation,True,False,False,ActOn__ServerInformation__c,True,True,True,True,True,True,True,"OrderedDict({'compactLayouts': '/services/data/v59.0/sobjects/ActOn__ServerInformation__c/describe/compactLayouts', 'rowTemplate': '/services/data/v59.0/sobjects/ActOn__ServerInformation__c/{ID}', 'approvalLayouts': '/services/data/v59.0/sobjects/ActOn__ServerInformation__c/describe/approvalLayouts', 'describe': '/services/data/v59.0/sobjects/ActOn__ServerInformation__c/describe', 'quickActions': '/services/data/v59.0/sobjects/ActOn__ServerInformation__c/quickActions', 'layouts': '/services/data/v59.0/sobjects/ActOn__ServerInformation__c/describe/layouts', 'sobject': '/services/data/v59.0/sobjects/ActOn__ServerInformation__c'})"
False,,,True,False,False,False,True,False,False,False,False,False,07g,Action Link Group Template,Action Link Group Templates,True,False,True,ActionLinkGroupTemplate,True,False,True,False,False,False,True,"OrderedDict({'compactLayouts': '/services/data/v59.0/sobjects/ActionLinkGroupTemplate/describe/compactLayouts', 'rowTemplate': '/services/data/v59.0/sobjects/ActionLinkGroupTemplate/{ID}', 'describe': '/services/data/v59.0/sobjects/ActionLinkGroupTemplate/describe', 'layouts': '/services/data/v59.0/sobjects/ActionLinkGroupTemplate/describe/layouts', 'sobject': '/services/data/v59.0/sobjects/ActionLinkGroupTemplate'})"
False,,,True,False,False,False,True,False,False,False,False,False,07l,Action Link Template,Action Link Templates,True,False,False,ActionLinkTemplate,True,False,True,False,False,False,True,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/ActionLinkTemplate/{ID}', 'describe': '/services/data/v59.0/sobjects/ActionLinkTemplate/describe', 'layouts': '/services/data/v59.0/sobjects/ActionLinkTemplate/describe/layouts', 'sobject': '/services/data/v59.0/sobjects/ActionLinkTemplate'})"
False,,,False,False,False,False,False,False,False,False,False,False,5H2,Active Feature License Metric,Active Feature License Metrics,False,False,False,ActiveFeatureLicenseMetric,True,False,True,False,False,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/ActiveFeatureLicenseMetric/{ID}', 'describe': '/services/data/v59.0/sobjects/ActiveFeatureLicenseMetric/describe', 'sobject': '/services/data/v59.0/sobjects/ActiveFeatureLicenseMetric'})"
False,,,False,False,False,False,False,False,False,False,False,False,5H1,Active Permission Set License Metric,Active Permission Set License Metrics,False,False,False,ActivePermSetLicenseMetric,True,False,True,False,False,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/ActivePermSetLicenseMetric/{ID}', 'describe': '/services/data/v59.0/sobjects/ActivePermSetLicenseMetric/describe', 'sobject': '/services/data/v59.0/sobjects/ActivePermSetLicenseMetric'})"
False,,,False,False,False,False,False,False,False,False,False,False,5H0,Active Profile Metric,Active Profile Metrics,False,False,False,ActiveProfileMetric,True,False,True,False,False,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/ActiveProfileMetric/{ID}', 'describe': '/services/data/v59.0/sobjects/ActiveProfileMetric/describe', 'sobject': '/services/data/v59.0/sobjects/ActiveProfileMetric'})"
False,,,False,False,False,False,True,False,False,False,False,False,2fp,Activity Field History,Activity Field Histories,False,False,False,ActivityFieldHistory,True,False,True,False,False,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/ActivityFieldHistory/{ID}', 'describe': '/services/data/v59.0/sobjects/ActivityFieldHistory/describe', 'sobject': '/services/data/v59.0/sobjects/ActivityFieldHistory'})"
False,,,False,False,False,False,False,False,False,False,False,False,,Activity History,Activity History,False,False,False,ActivityHistory,False,False,False,False,False,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/ActivityHistory/{ID}', 'describe': '/services/data/v59.0/sobjects/ActivityHistory/describe', 'sobject': '/services/data/v59.0/sobjects/ActivityHistory'})"
False,,,True,False,False,False,True,False,False,False,False,False,04m,Additional Directory Number,Additional Directory Numbers,False,False,False,AdditionalNumber,True,True,True,False,False,True,True,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/AdditionalNumber/{ID}', 'describe': '/services/data/v59.0/sobjects/AdditionalNumber/describe', 'sobject': '/services/data/v59.0/sobjects/AdditionalNumber'})"
False,,,True,False,False,False,True,False,False,False,False,False,130,Address,Addresses,True,False,False,Address,True,True,True,True,True,True,True,"OrderedDict({'compactLayouts': '/services/data/v59.0/sobjects/Address/describe/compactLayouts', 'rowTemplate': '/services/data/v59.0/sobjects/Address/{ID}', 'approvalLayouts': '/services/data/v59.0/sobjects/Address/describe/approvalLayouts', 'describe': '/services/data/v59.0/sobjects/Address/describe', 'layouts': '/services/data/v59.0/sobjects/Address/describe/layouts', 'sobject': '/services/data/v59.0/sobjects/Address'})"
False,,,True,False,False,False,True,False,False,False,False,False,0Bz,Agent Work,Agent Work,False,False,False,AgentWork,True,True,True,False,True,True,True,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/AgentWork/{ID}', 'describe': '/services/data/v59.0/sobjects/AgentWork/describe', 'sobject': '/services/data/v59.0/sobjects/AgentWork'})"
False,Share,AgentWork,True,False,False,False,True,False,False,False,False,False,,Agent Work Share,Agent Work Share,False,False,False,AgentWorkShare,True,False,True,False,False,False,True,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/AgentWorkShare/{ID}', 'describe': '/services/data/v59.0/sobjects/AgentWorkShare/describe', 'sobject': '/services/data/v59.0/sobjects/AgentWorkShare'})"
False,,,False,False,False,False,True,False,False,False,False,False,0Sm,Agent Work Skill,Agent Work Skills,False,False,False,AgentWorkSkill,True,True,True,False,True,True,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/AgentWorkSkill/{ID}', 'approvalLayouts': '/services/data/v59.0/sobjects/AgentWorkSkill/describe/approvalLayouts', 'describe': '/services/data/v59.0/sobjects/AgentWorkSkill/describe', 'sobject': '/services/data/v59.0/sobjects/AgentWorkSkill'})"
False,,,False,False,False,False,False,False,False,False,False,False,,Aggregate Result,Aggregate Result,False,False,False,AggregateResult,False,False,False,False,False,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/AggregateResult/{ID}', 'describe': '/services/data/v59.0/sobjects/AggregateResult/describe', 'sobject': '/services/data/v59.0/sobjects/AggregateResult'})"
False,,,False,False,False,False,False,False,False,False,False,False,7jX,Analytics Recipe Completed Event,Analytics Recipe Completed Events,False,False,False,AnalyticRecipeCompleteEvent,False,False,False,False,True,False,False,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/AnalyticRecipeCompleteEvent/{ID}', 'eventSchema': '/services/data/v59.0/sobjects/AnalyticRecipeCompleteEvent/eventSchema', 'describe': '/services/data/v59.0/sobjects/AnalyticRecipeCompleteEvent/describe', 'sobject': '/services/data/v59.0/sobjects/AnalyticRecipeCompleteEvent'})"
False,,,True,False,False,False,True,False,False,False,False,False,3la,Analytics Licensed Asset,Analytics Licensed Assets,False,False,False,AnalyticsLicensedAsset,True,False,True,False,False,False,True,"OrderedDict({'rowTemplate': '/services/data/v59.0/sobjects/AnalyticsLicensedAsset/{ID}', 'describe': '/services/data/v59.0/sobjects/AnalyticsLicensedAsset/describe', 'sobject': '/services/data/v59.0/sobjects/AnalyticsLicensedAsset'})"
